client_id,sex,birth,age,group,group2,cat0,cat1,cat2,total,CAcat0,CAcat1,CAcat2,CA
c_7890,f,1999,24,"(18, 30]","(18, 30]",4.0,11.0,20.0,35.0,43.76,215.45,1809.6799999999998,2068.89
c_4755,f,1983,40,"(30, 50]","(30, 65]",15.0,0.0,0.0,15.0,141.01,0.0,0.0,141.01
c_1836,m,1953,70,"(50, 70]","(65, 94]",25.0,12.0,0.0,37.0,319.46999999999997,242.42,0.0,561.89
c_6889,f,1968,55,"(50, 70]","(30, 65]",1.0,8.0,0.0,9.0,9.99,153.85999999999999,0.0,163.85
c_3572,f,1949,74,"(70, 94]","(65, 94]",6.0,10.0,0.0,16.0,60.57,216.89999999999998,0.0,277.46999999999997
c_5080,f,1994,29,"(18, 30]","(18, 30]",0.0,0.0,2.0,2.0,0.0,0.0,236.98000000000002,236.98000000000002
c_5146,f,1962,61,"(50, 70]","(30, 65]",48.0,49.0,0.0,97.0,390.11,902.0799999999999,0.0,1292.19
c_1320,f,1992,31,"(30, 50]","(30, 65]",19.0,23.0,21.0,63.0,198.77,434.37,1366.69,1999.83
c_712,f,1967,56,"(50, 70]","(30, 65]",0.0,2.0,0.0,2.0,0.0,39.62,0.0,39.62
c_8395,m,1993,30,"(18, 30]","(18, 30]",10.0,18.0,30.0,58.0,128.69,341.65999999999997,1995.02,2465.37
c_1381,f,1982,41,"(30, 50]","(30, 65]",145.0,38.0,0.0,183.0,1430.48,715.3,0.0,2145.7799999999997
c_858,f,1956,67,"(50, 70]","(65, 94]",49.0,45.0,0.0,94.0,490.12,905.8,0.0,1395.92
c_7193,f,1982,41,"(30, 50]","(30, 65]",43.0,29.0,0.0,72.0,485.61,631.79,0.0,1117.4
c_1859,m,2003,20,"(18, 30]","(18, 30]",12.0,22.0,16.0,50.0,86.34,657.64,1519.96,2263.94
c_8384,m,1939,84,"(70, 94]","(65, 94]",38.0,29.0,0.0,67.0,481.86,805.4699999999999,0.0,1287.33
c_3568,f,1974,49,"(30, 50]","(30, 65]",26.0,19.0,0.0,45.0,262.44,284.92,0.0,547.36
c_1033,f,2000,23,"(18, 30]","(18, 30]",0.0,1.0,9.0,10.0,0.0,16.99,784.29,801.28
c_3041,f,1996,27,"(18, 30]","(18, 30]",4.0,11.0,10.0,25.0,54.3,160.65,519.46,734.4100000000001
c_178,f,1950,73,"(70, 94]","(65, 94]",54.0,67.0,0.0,121.0,589.97,1407.08,0.0,1997.05
c_3746,f,1952,71,"(70, 94]","(65, 94]",23.0,31.0,0.0,54.0,205.35,619.4499999999999,0.0,824.8
c_3601,m,1953,70,"(50, 70]","(65, 94]",34.0,35.0,3.0,72.0,296.3,700.11,248.96999999999997,1245.38
c_6754,f,1968,55,"(50, 70]","(30, 65]",29.0,19.0,0.0,48.0,335.14,452.71,0.0,787.8499999999999
c_1561,f,2004,19,"(18, 30]","(18, 30]",20.0,9.0,8.0,37.0,169.5,151.22,450.65999999999997,771.38
c_4087,m,1973,50,"(30, 50]","(30, 65]",41.0,19.0,0.0,60.0,467.1,380.98999999999995,0.0,848.0899999999999
c_5898,m,1991,32,"(30, 50]","(30, 65]",247.0,77.0,1.0,325.0,2867.67,1552.97,145.99,4566.63
c_7755,m,1990,33,"(30, 50]","(30, 65]",54.0,12.0,0.0,66.0,539.34,262.34,0.0,801.6800000000001
c_6950,f,1989,34,"(30, 50]","(30, 65]",263.0,66.0,0.0,329.0,2657.6,1573.8,0.0,4231.4
c_7680,m,1987,36,"(30, 50]","(30, 65]",173.0,40.0,0.0,213.0,1910.8799999999999,822.3299999999999,0.0,2733.21
c_7046,m,1996,27,"(18, 30]","(18, 30]",9.0,6.0,0.0,15.0,145.65,130.17,0.0,275.82
c_3413,m,1993,30,"(18, 30]","(18, 30]",0.0,5.0,0.0,5.0,0.0,105.35999999999999,0.0,105.35999999999999
c_626,f,1990,33,"(30, 50]","(30, 65]",154.0,36.0,0.0,190.0,1563.13,714.8199999999999,0.0,2277.95
c_5810,m,1966,57,"(50, 70]","(30, 65]",21.0,16.0,0.0,37.0,212.26999999999998,279.34999999999997,0.0,491.61999999999995
c_4325,f,1973,50,"(30, 50]","(30, 65]",149.0,24.0,0.0,173.0,1599.15,466.01,0.0,2065.16
c_1403,f,1978,45,"(30, 50]","(30, 65]",76.0,36.0,1.0,113.0,809.728383882149,794.64,145.99,1750.358383882149
c_2276,f,1978,45,"(30, 50]","(30, 65]",167.0,46.0,0.0,213.0,1745.83,901.68,0.0,2647.5099999999998
c_1531,m,1985,38,"(30, 50]","(30, 65]",75.0,23.0,0.0,98.0,861.46,362.65999999999997,0.0,1224.12
c_4694,f,1965,58,"(50, 70]","(30, 65]",14.0,20.0,0.0,34.0,112.17,422.2,0.0,534.37
c_4512,m,2003,20,"(18, 30]","(18, 30]",0.0,10.0,10.0,20.0,0.0,127.3,867.6600000000001,994.96
c_7075,m,1988,35,"(30, 50]","(30, 65]",113.0,35.0,0.0,148.0,1361.94,762.29,0.0,2124.23
c_2696,f,1978,45,"(30, 50]","(30, 65]",26.0,10.0,0.0,36.0,400.4,251.22,0.0,651.62
c_6179,m,1974,49,"(30, 50]","(30, 65]",24.0,8.0,0.0,32.0,266.63,169.28,0.0,435.90999999999997
c_2714,f,1995,28,"(18, 30]","(18, 30]",0.0,8.0,16.0,24.0,0.0,217.78,1322.6,1540.3799999999999
c_1216,m,1953,70,"(50, 70]","(65, 94]",49.0,41.0,0.0,90.0,473.24,861.12,0.0,1334.3600000000001
c_8506,f,2001,22,"(18, 30]","(18, 30]",0.0,0.0,2.0,2.0,0.0,0.0,97.98,97.98
c_7866,m,1989,34,"(30, 50]","(30, 65]",30.0,15.0,0.0,45.0,293.59,334.35,0.0,627.94
c_2809,m,1981,42,"(30, 50]","(30, 65]",181.0,43.0,0.0,224.0,1810.07,862.37,0.0,2672.44
c_955,f,1935,88,"(70, 94]","(65, 94]",6.0,19.0,0.0,25.0,108.75999999999999,605.21,0.0,713.97
c_424,f,1956,67,"(50, 70]","(65, 94]",7.0,12.0,0.0,19.0,75.96,229.69,0.0,305.65
c_5843,f,1988,35,"(30, 50]","(30, 65]",81.0,26.0,0.0,107.0,872.96,576.72,0.0,1449.68
c_7134,f,1981,42,"(30, 50]","(30, 65]",76.0,16.0,0.0,92.0,761.55,314.51,0.0,1076.06
c_2352,m,1938,85,"(70, 94]","(65, 94]",21.0,16.0,0.0,37.0,253.08,293.05,0.0,546.13
c_3244,m,1974,49,"(30, 50]","(30, 65]",62.0,53.0,4.0,119.0,692.59,1115.66,629.68,2437.93
c_5752,m,1981,42,"(30, 50]","(30, 65]",17.0,3.0,0.0,20.0,150.32,50.089999999999996,0.0,200.41
c_7795,m,2003,20,"(18, 30]","(18, 30]",0.0,7.0,6.0,13.0,0.0,171.41,491.75,663.16
c_457,f,2001,22,"(18, 30]","(18, 30]",0.0,0.0,6.0,6.0,0.0,0.0,413.93999999999994,413.93999999999994
c_2669,m,1960,63,"(50, 70]","(30, 65]",17.0,33.0,1.0,51.0,180.44,635.04,145.99,961.47
c_4423,m,1984,39,"(30, 50]","(30, 65]",83.0,13.0,0.0,96.0,859.91,276.13,0.0,1136.04
c_4917,f,1942,81,"(70, 94]","(65, 94]",6.0,13.0,0.0,19.0,54.86,327.95,0.0,382.81
